date,point,lower_50,upper_50,lower_95,upper_95
2026-03-01,0.4027918920533828,0.004324224560486631,0.7132139419818571,-0.6512544653787724,1.3687926319211163
2026-04-01,0.43437964869674406,-0.03977898518185982,0.7396531941330422,-0.7442721960353267,1.4441464049865091
2026-05-01,0.05234622594981353,-0.778160901537299,0.2406539404393415,-1.6035798868289912,1.0660729257310337
2026-06-01,-0.19156567181294865,-1.2503234515030928,-0.07917349407735383,-2.152024140733329,0.8225271951528823
2026-07-01,-0.20051068659353338,-1.2698653416551948,-0.09163523462501802,-2.1751166810138027,0.8136161047335897
2026-08-01,0.23902638468240553,-0.361087331154202,0.5018612179978122,-1.1070305001803429,1.2478043870239532
2026-09-01,0.2980370694477131,-0.239854490564571,0.5813845366147334,-0.9647879411933127,1.3063179872434751
2026-10-01,0.3591570022147595,-0.10639162576768776,0.6665976387840271,-0.8071858320134312,1.3673918450297704
2026-11-01,0.6500368191423165,0.3459162980156829,1.1255399161074937,-0.3581937540063064,1.8296499681294829
2026-12-01,0.9678888051033873,0.4887480408180676,1.2707965889139003,-0.21657435286847992,1.9761189826004477
2027-01-01,1.1178563223228133,0.6292599705171357,1.4176122268037932,-0.07921426583569864,2.1260864631566276
2027-02-01,0.2768383454793675,-0.45133099181212827,0.49673658657285374,-1.2396628881550393,1.2850684829157646
